periode,Tavg,RH_avg,RR,jumlah_kasus
2015-01,27.16794872,81.3974359,13.847,443
2015-02,26.48589744,85.96153846,27.56751282,528
2015-03,27.4943662,80.88732394,135.8206479,755
2015-04,28.21012658,79.53164557,117.4476709,1006
2015-05,28.972,74.8,2.47088,729
2015-06,28.604,73.98,2.58244,548
2015-07,28.54285714,70.63265306,1.651469388,331
2015-08,28.33421053,71.89473684,234.1037895,173
2015-09,28.82727273,67.75,1.964136364,133
2015-10,29.43877551,68.08163265,1.624938776,116
2015-11,29.16612903,74.74193548,5.898741935,113
2015-12,28.06229508,79.40983607,11.63022951,157
2016-01,28.06470588,80.92156863,7.455764706,980
2016-02,27.57534247,84.08219178,20.29786301,486
2016-03,28.5875,81.29166667,12.44420833,960
2016-04,28.95294118,78.88235294,11.4914902,799
2016-05,29.02727273,79.62121212,6.510090909,739
2016-06,28.4637931,77.37931034,10.37872414,439
2016-07,28.35,78.23529412,7.912735294,239
2016-08,28.29142857,76.72857143,8.336657143,135
2016-09,28.45217391,77.63768116,11.14991304,88
2016-10,27.97945205,79.02739726,9.18690411,108
2016-11,28.18769231,78.70769231,10.99452308,116
2016-12,28.0983871,76.11290323,3.542290323,139
2017-01,27.81492537,78.6119403,10.46898507,665
2017-02,26.92297297,83.44594595,21.74008108,357
2017-03,27.83333333,79.58333333,8.962027778,464
2017-04,28.21666667,78.77777778,11.78044444,367
2017-05,28.81764706,76.8627451,4.674941176,373
2017-06,28.56808511,77.19148936,6.770680851,187
2017-07,28.35227273,74.5,3.937363636,160
2017-08,28.58958333,70.04166667,2.110875,131
2017-09,28.81136364,72.54545455,5.541909091,84
2017-10,28.60307692,75.8,6.8788,203
2017-11,28.0234375,78.875,8.4225625,193
2017-12,28.05230769,77,11.71298462,178
2018-01,27.58484848,77.01515152,8.702515152,200
2018-02,27.13513514,83.09459459,17.88602703,198
2018-03,27.72739726,81.19178082,8.929369863,286
2018-04,28.16393443,80.16393443,11.25809836,417
2018-05,29.01551724,75.5,2.566275862,496
2018-06,28.7,75.28,179.74088,306
2018-07,28.2,70.91666667,2.026222222,246
2018-08,28.18857143,70.31428571,2.252057143,177
2018-09,28.62352941,69.23529412,263.7065294,113
2018-10,29.28695652,72.30434783,7.839608696,110
2018-11,28.49032258,76.53225806,10.20841935,106
2018-12,28.49661017,75,4.115627119,167
2019-01,28.03636364,80.56363636,13.45352727,989
2019-02,28.22888889,80.82222222,10.9032,1567
2019-03,28.15932203,78.93220339,11.32918644,1983
2019-04,28.82826087,79.52173913,6.74226087,1173
2019-05,29.58837209,74.18604651,2.488883721,1375
2019-06,29.19210526,72.39473684,2.221631579,802
2019-07,28.65365854,68.95121951,1.600536585,323
2019-08,28.25609756,69.48780488,1.600522,122
2019-09,28.78857143,69.11428571,1.601257143,61
2019-10,29.45428571,69.22857143,1.657771429,73
2019-11,29.47,71.575,2.95305,103
2019-12,28.522,79.62,11.17044,134
2020-01,27.82692308,83.55769231,24.97926923,275
2020-02,27.50625,85.35416667,36.51133333,628
2020-03,28.39111111,81.88888889,9.9632,1310
2020-04,28.77222222,80.25,10.50338889,1028
2020-05,29.47333333,76.86666667,3.431466667,717
2020-06,29.31764706,75.61764706,2.233,350
2020-07,28.67272727,73.48484848,3.352848485,140
2020-08,29.08571429,73.02857143,5.112057143,75
2020-09,29.5,71.06382979,3.947744681,50
2020-10,28.7925,75.75,6.1361,36
2020-11,28.72340426,77.9787234,193.5919574,59
2020-12,27.7902439,79.53658537,9.049853659,60
